accession	Plantheight	Earheight	Earleafwidth	Earleaflength	Tasselmainaxislength	Tasselbranchnumber	Leafnumberaboveear	Earlength	Eardiameter	Cobdiameter	Earrownumber	Kernernumberperrow	100grainweight	cobweight	kernellength	Kernelwidth	Kernelthickness	Silkingtime	Pollenshed	Headingdate	cobcolor
MODEM-SY1128	160.29543	76.18052968	9.474400126	67.86480364	25.5792083	17.15196621	5.702176101	13.85787439	3.922793209	2.891519693	16.58605372	23.593919	18.44481464	23.28967622	8.419977603	7.058192681	4.688830864	74.5957	72.0254	68.5982	1.0
MODEM-SY3073	166.7337871	58.18220721	8.850904266	68.20601487	25.04970527	7.676077392	6.466508629	9.982257775	3.678409615	2.402512849	14.62011908	20.53728069	20.1955477	17.29948299	8.282252192	7.45576141	4.51255802	72.13307	68.7977	67.37094	1.0
MODEM-SY998	164.4710388	42.71871824	7.644385084	72.59626598	34.87534248	12.01798454	6.363102152	10.21931871	3.637375056	2.270399128	15.25027471	17.86943077	17.05698696	11.9969835	9.0540134	7.395508828	4.470378055	72.6684	69.9107	63.5776	0.0
MODEM-SY999	164.1539916	49.40280692	7.539962684	72.82951062	35.24564405	6.211310988	5.691315841	11.20457344	3.431967286	2.267575729	14.45811009	17.64909327	19.0040112	13.41761764	8.080560247	6.509945838	4.472599935	72.15181	69.6141	65.1148	0.0
MODEM-TIAN77	147.6678919	68.57569799	8.174903491	61.04057911	27.83146063	13.56810786	5.02059611	13.2727055	3.863506034	2.650886574	14.07433755	21.37555749	20.40660559	12.97391861	7.78227965	8.19486417	5.062994443	74.2745	72.8045	70.2717	0.0
MODEM-TIE7922	187.107496	63.99071759	7.700171556	67.47809758	24.24426404	4.578619739	4.929499928	11.74125483	3.870510171	2.369871811	14.71331862	24.128317	22.12941832	15.90967163	10.23479682	7.743142552	4.394601004	71.2765	68.2412	65.5859	0.0
MODEM-TT16	188.2527748	75.75877507	7.988948586	72.9846781	27.6804404	8.993877447	5.474572427	12.62231154	4.118847211	2.748613583	13.53338362	22.20611464	26.63452301	14.63934547	9.800100991	9.034124155	4.634491115	69.5634	68.6864	64.8049	1.0
MODEM-TX5	150.5024487	61.42861358	6.713516704	66.6023221	27.49958901	9.42923954	4.88955986	12.14559831	3.543816262	2.144798056	11.75989173	16.89262294	26.31120491	11.88057846	8.851804152	8.831617237	5.114271337	67.7432	66.1265	64.3586	0.0
MODEM-TY1	174.1174395	67.81929988	8.389298559	78.68119952	31.34780821	10.66141745	6.559382964	11.8547944	3.916227679	2.373485046	14.29938119	24.49727325	23.3378985	16.88768115	10.02677406	7.775901024	4.243509995	73.8462	70.13327	68.4866	1.0
MODEM-TY10	187.0010229	71.02739504	8.422114131	75.47381399	34.25410865	5.653498344	4.796685525	12.39766375	3.939207032	2.35227242	15.0804723	24.62462415	25.00268168	14.85375741	9.955042078	7.518300312	4.230256397	67.2078	66.0152	64.3586	1.0
